,Year,Month,Mexican Policy Uncertainty Index
174,2010,7.0,81.62571716308594
175,2010,8.0,62.42527389526367
176,2010,9.0,59.98311233520508
177,2010,10.0,107.32536315917969
178,2010,11.0,54.69549560546875
179,2010,12.0,44.013267517089844
180,2011,1.0,58.65542984008789
181,2011,2.0,50.25857925415039
182,2011,3.0,64.54344940185547
183,2011,4.0,48.89285659790039
184,2011,5.0,37.712276458740234
185,2011,6.0,69.66204071044922
186,2011,7.0,80.08976745605469
187,2011,8.0,102.28372955322266
188,2011,9.0,81.0962905883789
189,2011,10.0,63.18464279174805
190,2011,11.0,95.0062026977539
191,2011,12.0,47.94231414794922
192,2012,1.0,68.65196990966797
193,2012,2.0,67.52161407470703
194,2012,3.0,43.30641555786133
195,2012,4.0,32.6335334777832
196,2012,5.0,66.30915832519531
197,2012,6.0,67.71946716308594
198,2012,7.0,48.794822692871094
199,2012,8.0,47.96306228637695
200,2012,9.0,45.94752883911133
201,2012,10.0,57.26131820678711
202,2012,11.0,41.815223693847656
203,2012,12.0,59.80223083496094
204,2013,1.0,67.06057739257812
205,2013,2.0,36.01390075683594
206,2013,3.0,30.59160804748535
207,2013,4.0,24.38787078857422
208,2013,5.0,27.581239700317383
209,2013,6.0,45.01886749267578
210,2013,7.0,71.34398651123047
211,2013,8.0,37.259395599365234
212,2013,9.0,49.41802978515625
213,2013,10.0,79.3455581665039
214,2013,11.0,49.47553634643555
215,2013,12.0,15.295198440551758
216,2014,1.0,46.55311584472656
217,2014,2.0,37.625328063964844
218,2014,3.0,25.800539016723633
219,2014,4.0,21.63243865966797
220,2014,5.0,32.30870819091797
221,2014,6.0,30.657215118408203
222,2014,7.0,12.090350151062012
223,2014,8.0,27.67508888244629
224,2014,9.0,12.947373390197754
225,2014,10.0,30.872520446777344
226,2014,11.0,19.503297805786133
227,2014,12.0,26.34499740600586
228,2015,1.0,31.711336135864258
229,2015,2.0,22.289470672607422
230,2015,3.0,37.87656784057617
231,2015,4.0,18.375568389892578
232,2015,5.0,26.279436111450195
233,2015,6.0,35.39496994018555
234,2015,7.0,40.537071228027344
235,2015,8.0,51.364437103271484
236,2015,9.0,56.28963851928711
237,2015,10.0,26.35320472717285
238,2015,11.0,13.533062934875488
239,2015,12.0,30.036466598510742
240,2016,1.0,53.313438415527344
