,year,month,China News-Based EPU
277,2018,2.0,211.78018188476562
278,2018,3.0,245.5517120361328
279,2018,4.0,291.3069763183594
280,2018,5.0,374.10382080078125
281,2018,6.0,465.4168395996094
282,2018,7.0,561.0261840820312
283,2018,8.0,502.75372314453125
284,2018,9.0,516.4866333007812
285,2018,10.0,621.4263916015625
286,2018,11.0,677.53759765625
287,2018,12.0,935.310302734375
288,2019,1.0,654.962646484375
289,2019,2.0,720.1578979492188
290,2019,3.0,753.1077270507812
291,2019,4.0,502.550048828125
292,2019,5.0,759.0687255859375
293,2019,6.0,959.852294921875
294,2019,7.0,721.646728515625
295,2019,8.0,904.9383544921875
296,2019,9.0,933.8838500976562
297,2019,10.0,970.8298950195312
298,2019,11.0,726.591064453125
299,2019,12.0,894.895751953125
300,2020,1.0,755.2638549804688
301,2020,2.0,646.3675537109375
302,2020,3.0,734.6422729492188
303,2020,4.0,819.1759033203125
304,2020,5.0,934.717041015625
305,2020,6.0,843.6151733398438
306,2020,7.0,825.7005615234375
307,"Source: 'Economic Policy Uncertainty in China' by Scott Baker, Nicholas Bloom, Steven J. Davis and Sophie Wang (2013)  at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,
