,year,month,Brazil News-Based EPU
164,2004,9.0,103.22364044189453
165,2004,10.0,137.2549591064453
166,2004,11.0,138.59397888183594
167,2004,12.0,46.25790023803711
168,2005,1.0,120.5707015991211
169,2005,2.0,96.10476684570312
170,2005,3.0,133.31124877929688
171,2005,4.0,118.14848327636719
172,2005,5.0,136.54078674316406
173,2005,6.0,136.44248962402344
174,2005,7.0,88.5412826538086
175,2005,8.0,155.48330688476562
176,2005,9.0,90.69683837890625
177,2005,10.0,61.16956329345703
178,2005,11.0,152.59829711914062
179,2005,12.0,153.88555908203125
180,2006,1.0,140.0521697998047
181,2006,2.0,41.44294738769531
182,2006,3.0,126.20550537109375
183,2006,4.0,80.2667007446289
184,2006,5.0,95.0802001953125
185,2006,6.0,142.3168487548828
186,2006,7.0,75.04366302490234
