Date,IMOEX.ME,XU100.IS,^BSESN,^BVSP,^JKSE,^MXX
2015-06-05,1652.0699462890625,81943.3984375,26768.490234375,52973.0,5100.42041015625,44561.94140625
2015-06-08,1646.8900146484375,77805.3984375,26523.08984375,52810.0,5014.84375,44544.05078125
2015-06-09,1664.010009765625,78146.203125,26481.25,52816.0,4899.73681640625,44519.2109375
2015-06-10,1653.0899658203125,79747.8984375,26840.5,53876.0,4933.41064453125,44578.28125
2015-06-11,1652.239990234375,80845.203125,26370.98046875,53689.0,4928.666015625,44624.73828125
2015-06-12,,80937.0,26425.30078125,53348.0,4935.67041015625,44692.5
2015-06-15,1657.2900390625,78951.3984375,26586.55078125,53138.0,4837.650390625,44395.76171875
2015-06-16,1668.8199462890625,80183.796875,26686.509765625,53702.0,4872.4541015625,44722.28125
2015-06-17,1664.6600341796875,80713.296875,26832.66015625,53249.0,4945.60595703125,44792.0390625
2015-06-18,1660.1400146484375,81932.5,27115.830078125,54239.0,4945.35205078125,45120.7890625
2015-06-19,1663.030029296875,82454.3984375,27316.169921875,53749.0,4984.85791015625,44973.41015625
2015-06-22,1671.800048828125,83426.203125,27730.2109375,53864.0,4959.1044921875,45224.98046875
2015-06-23,1657.22998046875,83068.5,27804.369140625,53772.0,4937.50146484375,45454.1484375
2015-06-24,1651.8499755859375,84140.6015625,27729.669921875,53843.0,4953.369140625,45424.94140625
2015-06-25,1631.989990234375,83277.1015625,27895.970703125,53176.0,4919.89599609375,45377.12109375
2015-06-26,1644.449951171875,83546.1015625,27811.83984375,54017.0,4922.85888671875,45566.328125
2015-06-29,1634.9300537109375,81756.203125,27645.150390625,53014.0,4882.43310546875,44710.3515625
2015-06-30,1654.550048828125,82249.5,27780.830078125,53081.0,4910.51220703125,45053.69921875
2015-07-01,1639.699951171875,81681.703125,28020.869140625,52758.0,4903.9169921875,44928.51953125
2015-07-02,1641.050048828125,81880.0,27945.80078125,53106.0,4944.6337890625,45175.578125
2015-07-03,1631.6500244140625,81217.0,28092.7890625,52519.0,4982.76220703125,45065.46875
2015-07-06,1621.27001953125,82365.8984375,28208.759765625,52149.0,4916.59521484375,44794.01171875
2015-07-07,1614.1400146484375,81572.296875,28171.689453125,52344.0,4905.90380859375,45017.75
2015-07-08,1595.0,80386.6015625,27687.720703125,51782.0,4871.42578125,44497.73828125
2015-07-09,1614.5899658203125,82286.296875,27573.66015625,,4838.140625,44564.3203125
2015-07-10,1623.989990234375,82791.8984375,27661.400390625,52591.0,4858.89013671875,44915.98046875
2015-07-13,1642.969970703125,83388.296875,27961.189453125,53119.0,4893.77197265625,44990.390625
2015-07-14,1647.010009765625,83041.1015625,27932.900390625,53239.0,4901.66162109375,45136.69140625
2015-07-15,1641.219970703125,82727.8984375,28198.2890625,52902.0,4869.70458984375,45107.12890625
2015-07-16,1652.5899658203125,82789.796875,28446.119140625,53070.0,,45344.8984375
2015-07-17,1650.0799560546875,,28463.310546875,52342.0,,45325.37890625
2015-07-20,1626.760009765625,81320.0,28420.119140625,51600.0,,45567.98828125
2015-07-21,1635.68994140625,81583.6015625,28182.140625,51474.0,,45401.23046875
2015-07-22,1635.6300048828125,81222.3984375,28504.9296875,50916.0,4906.54296875,44670.421875
2015-07-23,1616.1400146484375,78336.6015625,28370.83984375,49807.0,4902.69970703125,44836.328125
2015-07-24,1595.6099853515625,78712.1015625,28112.310546875,49246.0,4856.451171875,44249.48828125
2015-07-27,1584.9200439453125,77352.0,27561.380859375,48736.0,4771.1435546875,43713.71875
2015-07-28,1604.5,78024.0,27459.23046875,49602.0,4714.6162109375,44222.96875
2015-07-29,1622.3199462890625,78079.796875,27563.4296875,50245.0,4720.98095703125,44471.2890625
2015-07-30,1636.719970703125,78271.5,27705.349609375,49897.0,4712.3525390625,44373.30859375
2015-07-31,1669.0,79909.703125,28114.560546875,50865.0,4802.38623046875,44752.9296875
2015-08-03,1663.739990234375,78164.1015625,28187.060546875,50138.0,4800.03955078125,44903.94921875
2015-08-04,1674.4599609375,78234.8984375,28071.9296875,50058.0,4780.9453125,45177.98046875
2015-08-05,1693.0699462890625,78134.296875,28223.080078125,50287.0,4850.38818359375,44937.609375
2015-08-06,1675.7099609375,78803.1015625,28298.130859375,50011.0,4806.42138671875,44921.21875
2015-08-07,1690.43994140625,78427.1015625,28236.390625,48577.0,4770.16162109375,44862.140625
2015-08-10,1702.02001953125,77495.296875,28101.720703125,49353.0,4748.80859375,45320.69140625
2015-08-11,1697.8699951171875,79720.0,27866.08984375,49072.0,4622.45361328125,44379.7890625
2015-08-12,1697.6500244140625,78174.796875,27512.259765625,48388.0,4479.3583984375,44032.37890625
2015-08-13,1704.1099853515625,77085.5,27549.529296875,48010.0,4584.11376953125,43870.53125
2015-08-14,1712.469970703125,77309.0,28067.310546875,47508.0,4585.2548828125,43746.71875
2015-08-17,1707.949951171875,76922.3984375,27878.26953125,47217.0,,43953.48046875
2015-08-18,1691.239990234375,75960.1015625,27831.5390625,47451.0,4510.34423828125,43872.12109375
2015-08-19,1673.8599853515625,75299.6015625,27931.640625,46588.0,4484.109375,43473.73828125
2015-08-20,1695.5699462890625,74681.796875,27607.8203125,46649.0,4441.779296875,43036.58984375
2015-08-21,1663.31005859375,73797.796875,27366.0703125,45720.0,4335.82470703125,42163.8203125
2015-08-24,1634.1400146484375,71342.0,25741.560546875,44336.0,4163.60546875,41471.46875
2015-08-25,1658.1300048828125,73509.703125,26032.380859375,44545.0,4228.375,42010.890625
2015-08-26,1660.949951171875,73615.8984375,25714.66015625,46038.0,4237.60693359375,42323.0390625
2015-08-27,1695.219970703125,74813.5,26231.189453125,47715.0,4430.50048828125,43452.359375
